platform_id,name
7598,SHEPHERDS BUSH MARKET WB           
1198,SHEPHERDS BUSH MARKET CIRCLE WB    
1201,HAMMERSMITH H&C CIRCLE DEPS EB     
7711,HAMPSTEAD NB                       
7706,BRENT CROSS SB                     
8299,EARLS COURT DIST UPM EB            
8284,SOUTH KENSINGTON DIST WB           
8294,EARLS COURT PICCADILLY EB          
8280,SOUTH KENSINGTON PICC WB           
8414,HIGH ST KEN CIRCLE IR              
8282,SOUTH KENSINGTON CIRCLE OR         
8036,REDBRIDGE EB                       
8033,NEWBURY PARK WB                    
7885,PARSONS GREEN EB                   
7882,WEST BROMPTON WB                   
7939,ARSENAL EB                         
7938,MANOR HOUSE WB                     
8142,HIGHBURY & IS VICTORIA NB          
8117,SEVEN SISTERS VICTORIA SB          
7622,SWISS COTTAGE NB                   
7625,WEST HAMPSTEAD JUBILEE SB          
8494,WEMBLEY PARK MET SB                
8243,BAKER ST MET MAIN NB               
7729,WEST FINCHLEY SB                   
7730,MILL HILL EAST DEPS SB             
8163,KINGS CROSS H&C EB                 
7509,BARBICAN H&C WB                    
8162,KINGS CROSS MET SB                 
7506,BARBICAN MET NB                    
7504,BARBICAN CIRCLE IR                 
8160,KINGS CROSS CIRCLE OR              
8030,BARKINGSIDE EB                     
8454,HAINAULT TO FAIRLOP WB             
8498,GREAT PORTLAND ST H&C EB           
8164,KINGS CROSS H&C WB                 
8501,GREAT PORTLAND ST MET SB           
8161,KINGS CROSS MET NB                 
8159,KINGS CROSS CIRCLE IR              
8497,GREAT PORTLAND ST CIRCLE OR        
8177,WARREN STREET NORTHERN NB          
8157,KINGS CROSS NORTHERN NB            
7747,MORNINGTON CRESCENT SB             
8475,CAMDEN TOWN CITY SB                
8175,WARREN STREET VICTORIA NB          
8154,KINGS CROSS VICTORIA SB            
7798,DAGENHAM EAST EB                   
7795,HORNCHURCH WB                      
8455,KENNINGTON CITY NB                 
7764,BOROUGH SB                         
8256,PADDINGTON H&C EB                  
8241,BAKER ST H&C WB                    
8238,BAKER ST CIRCLE IR                 
8249,PADDINGTON CIRCLE EB               
7891,SOUTHFIELDS EB                     
7888,PUTNEY BRIDGE WB                   
7815,UPTON PARK DISTRICT EB             
7807,BARKING DISTRICT WB                
7817,UPTON PARK H&C EB                  
7808,BARKING H&C DEPS WB                
7736,HIGHGATE NB                        
8481,FINCHLEY CENTRAL SB                
7541,RUISLIP MANOR MET SB               
8334,RAYNERS LANE MET NB                
7542,RUISLIP MANOR PICC EB              
8332,RAYNERS LANE PICC WB               
8425,NORTH ACTON EB                     
8071,WHITE CITY WB                      
7901,WEST KENSINGTON EB                 
7881,WEST BROMPTON EB                   
8290,GLOUCESTER ROAD DISTRICT WB        
8417,HIGH ST KEN DISTRICT WIMBLEDON WB  
8304,BARONS COURT PICCADILLY EB         
8286,GLOUCESTER ROAD PICC WB            
8573,EALING BROADWAY DIST DEPS EB       
8324,ACTON TOWN DISTRICT WB             
7957,NORTH EALING EB                    
8320,ACTON TOWN PICC UX WB              
7632,WILLESDEN GREEN NB                 
7637,NEASDEN SB                         
8004,LOUGHTON EB                        
7998,THEYDON BOIS WB                    
7802,BECONTREE EB                       
7799,DAGENHAM EAST WB                   
7800,DAGENHAM HEATHWAY EB               
7797,ELM PARK WB                        
7571,WATFORD DEPS SB                    
8345,MOOR PARK MET WATFORD NB           
8271,LEICESTER SQUARE PICC EB           
8264,HOLBORN PICCADILLY WB              
7783,SOUTH WIMBLEDON NB                 
7780,TOOTING BROADWAY SB                
7703,HENDON CENTRAL NB                  
7700,BURNT OAK SB                       
7773,BALHAM NORTHERN NB                 
7770,CLAPHAM COMMON SB                  
7769,CLAPHAM COMMON NB                  
8204,STOCKWELL NORTHERN SB              
7771,CLAPHAM SOUTH NB                   
7768,CLAPHAM NORTH SB                   
8355,CHALFONT & LAT MET SB              
7572,RICKMANSWORTH MET NB               
8323,ACTON TOWN DISTRICT EB             
8411,TURNHAM GREEN E B'WAY WB           
8027,GRANGE HILL FROM HAINAULT EB       
8022,RODING VALLEY TO HAINAULT WB       
8218,WATERLOO BAKERLOO NB               
8508,CHARING CROSS BAKERLOO SB          
7864,WESTMINSTER DISTRICT EB            
7861,TEMPLE DISTRICT WB                 
8216,WATERLOO NORTHERN NB               
8506,CHARING CROSS NORTHERN SB          
7862,WESTMINSTER CIRCLE IR              
7859,TEMPLE CIRCLE OR                   
